youtube_id,timestamp_ms,class_id,class_name,object_id,object_presence,xmin,xmax,ymin,ymax
FcmfoPqPxB8,0,0,person,0,present,0.21,0.686,0.0,1.0
FcmfoPqPxB8,1000,0,person,0,present,0.205,0.63,0.0,1.0
FcmfoPqPxB8,2000,0,person,0,present,0.327,0.722,0.10166667,1.0
FcmfoPqPxB8,3000,0,person,0,absent,-1.0,-1.0,-1.0,-1.0
FcmfoPqPxB8,4000,0,person,0,present,0.444,1.0,0.125,1.0
FcmfoPqPxB8,5000,0,person,0,present,0.259,0.768,0.09166667,1.0
FcmfoPqPxB8,6000,0,person,0,present,0.211,0.596,0.1,1.0
FcmfoPqPxB8,7000,0,person,0,present,0.312,0.643,0.19166666,1.0
FcmfoPqPxB8,8000,0,person,0,present,0.31,0.697,0.135,1.0
FcmfoPqPxB8,9000,0,person,0,present,0.223,0.62,0.10166667,1.0
FcmfoPqPxB8,10000,0,person,0,present,0.483,0.837,0.105,1.0
FcmfoPqPxB8,11000,0,person,0,present,0.372,0.756,0.111666664,1.0
FcmfoPqPxB8,12000,0,person,0,present,0.405,0.868,0.17166667,1.0
FcmfoPqPxB8,13000,0,person,0,present,0.412,0.813,0.15166667,1.0
FcmfoPqPxB8,14000,0,person,0,present,0.296,0.59,0.165,1.0
FcmfoPqPxB8,15000,0,person,0,present,0.095,0.581,0.21333334,0.99333334
FcmfoPqPxB8,16000,0,person,0,present,0.021,0.515,0.22333333,1.0
HhIU-nhz9y4,13000,0,person,0,present,0.101,0.928,0.275,1.0
HhIU-nhz9y4,14000,0,person,0,present,0.099,1.0,0.19,0.93333334
HhIU-nhz9y4,15000,0,person,0,present,0.0,0.987,0.23166667,1.0
HhIU-nhz9y4,16000,0,person,0,present,0.0,1.0,0.21666667,1.0
HhIU-nhz9y4,17000,0,person,0,present,0.0,0.979,0.15666667,1.0
HhIU-nhz9y4,18000,0,person,0,present,0.0,1.0,0.05666667,0.9816667
HhIU-nhz9y4,19000,0,person,0,present,0.0,0.863,0.108333334,1.0
HhIU-nhz9y4,20000,0,person,0,present,0.0,0.882,0.14666666,0.74333334
HhIU-nhz9y4,21000,0,person,0,present,0.0,0.882,0.0,0.64166665
HhIU-nhz9y4,22000,0,person,0,present,0.0,0.901,0.115,0.735
HhIU-nhz9y4,23000,0,person,0,present,0.0,0.777,0.0,0.5316667
HhIU-nhz9y4,24000,0,person,0,present,0.0,0.991,0.041666668,0.98
HhIU-nhz9y4,25000,0,person,0,present,0.0,0.986,0.0,0.98833334
HhIU-nhz9y4,26000,0,person,0,present,0.0,1.0,0.021666666,1.0
HhIU-nhz9y4,27000,0,person,0,present,0.0,1.0,0.15166667,1.0
HhIU-nhz9y4,28000,0,person,0,present,0.0,0.919,0.043333333,1.0
HhIU-nhz9y4,29000,0,person,0,present,0.0,0.887,0.026666667,1.0
HhIU-nhz9y4,30000,0,person,0,present,0.0,0.895,0.22333333,1.0
HhIU-nhz9y4,31000,0,person,0,present,0.0,0.851,0.15833333,1.0
HhIU-nhz9y4,133000,0,person,1,present,0.217,0.554,0.0,0.19333333
HhIU-nhz9y4,134000,0,person,1,present,0.0,0.435,0.0,0.85833335
HhIU-nhz9y4,135000,0,person,1,present,0.0,0.723,0.0,0.925
HhIU-nhz9y4,136000,0,person,1,present,0.0,0.628,0.0,1.0
HhIU-nhz9y4,137000,0,person,1,present,0.0,0.63,0.0,0.94666666
HhIU-nhz9y4,138000,0,person,1,present,0.0,0.567,0.0,0.7866667
HhIU-nhz9y4,139000,0,person,1,present,0.0,0.657,0.0,0.62333333
HhIU-nhz9y4,140000,0,person,1,present,0.0,0.832,0.0,0.9683333
HhIU-nhz9y4,141000,0,person,1,present,0.0,0.639,0.0,1.0
HhIU-nhz9y4,142000,0,person,1,present,0.0,0.605,0.0,0.87166667
